,Year,Recycling Rate,Municipality
0,CY2008,33%,ABINGTON
1,CY2007,29%,ABINGTON
2,CY2006,29%,ABINGTON
3,CY2005,37%,ABINGTON
4,CY2004,29%,ABINGTON
5,CY2003,28%,ABINGTON
6,CY2002,30%,ABINGTON
7,FY2001,30%,ABINGTON
8,FY2000,22%,ABINGTON
9,FY1999,28%,ABINGTON
10,FY1998,18%,ABINGTON
11,FY1997,18%,ABINGTON
12,CY2008,35%,ARLINGTON
13,CY2007,29%,ARLINGTON
14,CY2006,30%,ARLINGTON
15,CY2005,31%,ARLINGTON
16,CY2004,33%,ARLINGTON
17,CY2003,33%,ARLINGTON
18,CY2002,32%,ARLINGTON
19,FY2001,41%,ARLINGTON
20,FY2000,28%,ARLINGTON
21,FY1999,25%,ARLINGTON
22,FY1998,29%,ARLINGTON
23,FY1997,30%,ARLINGTON
24,CY2008,23%,AYER
25,CY2007,24%,AYER
26,CY2006,35%,AYER
27,CY2005,46%,AYER
28,CY2004,47%,AYER
29,CY2003,45%,AYER
30,CY2002,61%,AYER
31,FY2001,21%,AYER
32,FY2000,23%,AYER
33,FY1999,20%,AYER
34,FY1998,21%,AYER
35,FY1997,18%,AYER
36,CY2008,,BERLIN
37,CY2007,,BERLIN
38,CY2006,,BERLIN
39,CY2005,35%,BERLIN
40,CY2004,35%,BERLIN
41,CY2003,34%,BERLIN
42,CY2002,,BERLIN
43,FY2001,37%,BERLIN
44,FY2000,,BERLIN
45,FY1999,,BERLIN
46,FY1998,42%,BERLIN
47,FY1997,45%,BERLIN
48,CY2008,43%,BOXBOROUGH
49,CY2007,32%,BOXBOROUGH
50,CY2006,30%,BOXBOROUGH
51,CY2005,35%,BOXBOROUGH
52,CY2004,26%,BOXBOROUGH
53,CY2003,28%,BOXBOROUGH
54,CY2002,,BOXBOROUGH
55,FY2001,29%,BOXBOROUGH
56,FY2000,,BOXBOROUGH
57,FY1999,31%,BOXBOROUGH
58,FY1998,26%,BOXBOROUGH
59,FY1997,30%,BOXBOROUGH
60,CY2008,35%,BROOKLINE
61,CY2007,27%,BROOKLINE
62,CY2006,31%,BROOKLINE
63,CY2005,27%,BROOKLINE
64,CY2004,28%,BROOKLINE
65,CY2003,24%,BROOKLINE
66,CY2002,35%,BROOKLINE
67,FY2001,34%,BROOKLINE
68,FY2000,36%,BROOKLINE
69,FY1999,35%,BROOKLINE
70,FY1998,39%,BROOKLINE
71,FY1997,38%,BROOKLINE
72,CY2008,39%,CHATHAM
73,CY2007,35%,CHATHAM
74,CY2006,21%,CHATHAM
75,CY2005,20%,CHATHAM
76,CY2004,18%,CHATHAM
77,CY2003,24%,CHATHAM
78,CY2002,,CHATHAM
79,FY2001,29%,CHATHAM
80,FY2000,28%,CHATHAM
81,FY1999,44%,CHATHAM
82,FY1998,31%,CHATHAM
83,FY1997,26%,CHATHAM
84,CY2008,9%,CLINTON
85,CY2007,9%,CLINTON
86,CY2006,,CLINTON
87,CY2005,,CLINTON
88,CY2004,,CLINTON
89,CY2003,,CLINTON
90,CY2002,,CLINTON
91,FY2001,10%,CLINTON
92,FY2000,,CLINTON
93,FY1999,,CLINTON
94,FY1998,,CLINTON
95,FY1997,,CLINTON
96,CY2008,43%,DEDHAM
97,CY2007,24%,DEDHAM
98,CY2006,39%,DEDHAM
99,CY2005,,DEDHAM
100,CY2004,27%,DEDHAM
101,CY2003,27%,DEDHAM
102,CY2002,21%,DEDHAM
103,FY2001,24%,DEDHAM
104,FY2000,26%,DEDHAM
105,FY1999,25%,DEDHAM
106,FY1998,25%,DEDHAM
107,FY1997,26%,DEDHAM
108,CY2008,55%,DUXBURY
109,CY2007,37%,DUXBURY
110,CY2006,40%,DUXBURY
111,CY2005,32%,DUXBURY
