"","estimate 1"
"WARWICK",0.0143548171921621
"DEERFIELD",0.0132064707499488
"PLAINVILLE",0.012126853540339
"LEE",0.0119619015540147
"WORTHINGTON",0.0116477292516295
"YARMOUTH",0.0103730499745034
"SAVOY",0.00975298419323114
"BERKLEY",0.00968592345527838
"MERRIMAC",0.009431056530737
"NORTHFIELD",0.00902375489440425
"SCITUATE",0.00889839712755976
"SUTTON",0.00864339968575491
"MARLBOROUGH",0.00844836427598047
"ASHLAND",0.00843910009264032
"WELLESLEY",0.00833265529840941
"MANSFIELD",0.00819371167231686
"NEWBURYPORT",0.00816997430330281
"WESTHAMPTON",0.00814614668352122
"SHEFFIELD",0.00796905633014758
"IPSWICH",0.00791547910608912
"NORTH ATTLEBOROUGH",0.00747191325936956
"BOURNE",0.00744980399973227
"NEW SALEM",0.00740834637300475
"WINCHENDON",0.00740694935469545
"NEEDHAM",0.00733897961272649
"TYNGSBOROUGH",0.00728184136163436
"PROVINCETOWN",0.0072456541978331
"SOUTH HADLEY",0.00722901289396407
"LEOMINSTER",0.007122484077522
"HANCOCK",0.00705909827699402
"WILLIAMSTOWN",0.0069240809506461
"BRAINTREE",0.00692103526010099
"TOPSFIELD",0.00685338695825957
"LUDLOW",0.00681763438858749
"HARWICH",0.00679748624209601
"SHARON",0.00679159816160306
"WEST NEWBURY",0.00674817617426056
"EGREMONT",0.006719243533329
"atlantic",0.00662753769034862
"FAIRHAVEN",0.00652583866950182
"NORTHBRIDGE",0.00647319087882847
"ORANGE",0.00640987056145046
"DARTMOUTH",0.006393069484567
"SALISBURY",0.00638914123526001
"ROYALSTON",0.0063789678700558
"GREENFIELD",0.00628222875417649
"DUDLEY",0.00621465890697159
"AMHERST",0.00620970221147664
"SOMERVILLE",0.0062004160709533
"salem",0.00619539997543698
"BELMONT",0.00616455872698524
"DANVERS",0.00611548546064783
"HAVERHILL",0.0060362716053674
"METHUEN",0.00601674469748491
"RUSSELL",0.0058713419103162
"AYER",0.00581568192337753
"LONGMEADOW",0.00575258810973719
"passaic",0.00573572605585959
"PLYMOUTH",0.00572389551996386
"WAKEFIELD",0.00564633390503914
"NORTH BROOKFIELD",0.00561374216151026
"DRACUT",0.0056112263335645
"WEST BOYLSTON",0.00558606746156444
"sussex",0.00556223421225178
"RAYNHAM",0.00548252607409502
"gloucester",0.00543359425639185
"CONCORD",0.00538752096907462
"TEWKSBURY",0.00537229407812029
"ABINGTON",0.00536042688315847
"WILMINGTON",0.0053387913768189
"MELROSE",0.00533446037949891
"STONEHAM",0.00532312584502036
"WESTWOOD",0.0053124877723398
"LINCOLN",0.00531030272698285
"SHELBURNE",0.00529378972158314
"BOXFORD",0.00524521552089906
"HEATH",0.00524171031312479
"NORTHBOROUGH",0.00515240645129374
"CHICOPEE",0.00515225497551244
"SEEKONK",0.00512893109427206
"GLOUCESTER",0.00508384740551594
"SOUTHBOROUGH",0.00508206566122836
"camden",0.00507066300932843
"HALIFAX",0.00505510038619706
"SHREWSBURY",0.0050209671711415
"MAYNARD",0.00501025575858677
"ROCKPORT",0.00497956394841766
"NEWTON",0.00497249603878895
"COLRAIN",0.00494244862584001
"BOSTON",0.00492938509801335
"SPRINGFIELD",0.00486274152107398
"warren",0.0048213686987712
"ROWE",0.00481821847356631
"READING",0.0048163538075449
"SWAMPSCOTT",0.00478554375178068
"BROCKTON",0.0047699374920756
"BECKET",0.00476150603204641
"ASHFIELD",0.00471778763030055
"HUNTINGTON",0.00471721591948253
"WORCESTER",0.00466135572630327
"CARLISLE",0.00465222507407928
"HANOVER",0.00464033794937323
"CONWAY",0.00463051052928943
"ocean",0.00459659567222238
"WATERTOWN",0.00458835330452238
"HINGHAM",0.00457895265638666
"STURBRIDGE",0.00455812442940881
"MILTON",0.00453693200864879
"SHUTESBURY",0.00449610679553564
"NEW BEDFORD",0.00446999312330728
"CAMBRIDGE",0.004452822003848
"MARSHFIELD",0.00441976951673509
"FRAMINGHAM",0.00439834662129962
"NORFOLK",0.00439275259381071
"RANDOLPH",0.00438805735723147
"BROOKLINE",0.00433951849809457
"WEYMOUTH",0.00433366148352731
"OTIS",0.0043335209783238
"SPENCER",0.00427997384144713
"GRANVILLE",0.00427807041186708
"GROTON",0.00426681015795772
"COHASSET",0.00426463546977453
"SUDBURY",0.00425916611290126
"WINDSOR",0.00424977619282597
"ANDOVER",0.00424956539931128
"SOUTHAMPTON",0.00424005023023876
"LYNNFIELD",0.00423372785473292
"FRANKLIN",0.00421618708742781
"ESSEX",0.0041886966061055
"WENDELL",0.00416081700546929
"BEVERLY",0.00412366847405115
"CHESHIRE",0.00407637287578561
"GRANBY",0.00406871712670348
"HARDWICK",0.00406001429251397
"PLAINFIELD",0.0039673217855022
"EASTHAM",0.003959069652081
"AGAWAM",0.00395564869829977
"WALTHAM",0.00395321723648968
"BOLTON",0.00388890863540697
"MEDFORD",0.0038318189939014
"TRURO",0.00381449147941442
"SHERBORN",0.00380093653015005
"CUMMINGTON",0.00379098790958483
"SOMERSET",0.00376134559908586
"hudson",0.00373499299768632
"HOPKINTON",0.00371608924621039
"DUNSTABLE",0.00362928466762144
"middlesex",0.00357649095862811
"cape may",0.00355622072775161
"GILL",0.00355337999740931
"CHELMSFORD",0.00352072480471991
"HINSDALE",0.00349780567804311
"EAST LONGMEADOW",0.0034575297362083
"morris",0.00343957754611872
"STERLING",0.00343705705903438
"TOWNSEND",0.00341320232819169
"WESTPORT",0.00339694977596065
"WHATELY",0.00337317698818234
"EAST BROOKFIELD",0.0033628323003473
"NORTHAMPTON",0.00327834160773809
"MILFORD",0.00324562892297145
"cumberland",0.00320945159802968
"WRENTHAM",0.00318986528888349
"PEABODY",0.00311492332145989
"MEDWAY",0.00311462119521942
"burlington",0.00311330898949541
"BELLINGHAM",0.0030392594597945
"SAUGUS",0.00295409453081777
"bergen",0.00293447457111333
"BELCHERTOWN",0.00293205257450901
"mercer",0.00287008231763524
"GOSHEN",0.00286549707332714
"PERU",0.00282043282388352
"HAMILTON",0.00277603015393788
"essex",0.00269576842180795
"DUXBURY",0.00264976911545816
"monmouth",0.00263384562167197
"LEVERETT",0.00256975434896965
"BILLERICA",0.00255832331837654
"MIDDLETON",0.0025249096480588
"ARLINGTON",0.00243276109847213
"union",0.00241281981929477
"FALMOUTH",0.00236008150738525
"MIDDLEFIELD",0.00235146591500992
"ATTLEBORO",0.00217731716848975
"BERNARDSTON",0.00212580157012067
"QUINCY",0.00207734028585851
"SUNDERLAND",0.00203343935315016
"hunterdon",0.00200268665698655
"WINCHESTER",0.00191963122662139
"SALEM",0.00191702114782292
"LOWELL",0.00168693841412487
"SANDWICH",0.00166827021814866
"LAKEVILLE",0.00160530280245705
"BUCKLAND",0.00153977689894197
"MIDDLEBOROUGH",0.00150372987478702
"WILBRAHAM",0.00142839362448778
"CHARLEMONT",0.00141775558698074
"HOLBROOK",0.000967319700051001
"ALFORD",0.000924328892026041
"WESTFIELD",0.000337360293619586
"WESTFORD",0
"somerset",0
"NORWELL",0
"MONTAGUE",0
"HAMPDEN",0
"ERVING",0
