"","estimate 1"
"WARWICK",0.0157659749579019
"DEERFIELD",0.0142738479406914
"LEE",0.0131695789550515
"PLAINVILLE",0.0129685972978509
"WORTHINGTON",0.0126858429684395
"YARMOUTH",0.0111080115827148
"SAVOY",0.0102469890163677
"BERKLEY",0.0102387263236904
"MERRIMAC",0.0101248072362096
"NORTHFIELD",0.00970338799256651
"SCITUATE",0.00962164064327712
"ASHLAND",0.00907699961787873
"SUTTON",0.00887836009733192
"WELLESLEY",0.00886610103930317
"NEWBURYPORT",0.00868376493876307
"MARLBOROUGH",0.00866731996710144
"MANSFIELD",0.00865565641698505
"WESTHAMPTON",0.0085242536220238
"IPSWICH",0.0084800560656934
"SHEFFIELD",0.00844550400695118
"BOURNE",0.00785537394052252
"NEW SALEM",0.00770163448466342
"NORTH ATTLEBOROUGH",0.00765138155257466
"PROVINCETOWN",0.00763961983288012
"LEOMINSTER",0.0076361717224592
"WINCHENDON",0.00763238540765369
"TYNGSBOROUGH",0.00757753138281676
"NEEDHAM",0.00743144950658727
"ORANGE",0.00740208047191721
"SOUTH HADLEY",0.00739873588945954
"WILLIAMSTOWN",0.0073950393679838
"BRAINTREE",0.00717996946202386
"HANCOCK",0.0071520183718214
"HARWICH",0.00714738034397842
"atlantic",0.0070878656693881
"LUDLOW",0.00706744187188771
"SHARON",0.00705761171786504
"WEST NEWBURY",0.00699144157343505
"EGREMONT",0.00694945140743693
"TOPSFIELD",0.00692825281419761
"NORTHBRIDGE",0.00668820567353635
"ROYALSTON",0.00661874933424676
"FAIRHAVEN",0.0066164028903764
"salem",0.00661485507046127
"GREENFIELD",0.00658786464288
"DARTMOUTH",0.00657136584411816
"SALISBURY",0.00656102327140102
"DUDLEY",0.00640053015319764
"AMHERST",0.00632287628851366
"BELMONT",0.00622621484934292
"DANVERS",0.00621695242480175
"SOMERVILLE",0.00621519748534004
"HAVERHILL",0.0061862220557707
"METHUEN",0.00617242313041716
"RUSSELL",0.00599350822573708
"AYER",0.00597554984552847
"passaic",0.00596857614945836
"LONGMEADOW",0.00580013981157465
"WEST BOYLSTON",0.00577836138012671
