"","estimate 1"
"WARWICK",0.01489869063899
"DEERFIELD",0.0140249917011952
"LEE",0.0132230174430233
"PLAINVILLE",0.012345041892799
"WORTHINGTON",0.0123420359740866
"YARMOUTH",0.0101381285619433
"MERRIMAC",0.0100636227020528
"BERKLEY",0.00993902310005112
"NORTHFIELD",0.00950593301809841
"SAVOY",0.00942399710640385
"SCITUATE",0.0093489233149308
"ASHLAND",0.00898806791591625
"NEWBURYPORT",0.0086919977154248
"SHEFFIELD",0.00869143346098637
"SUTTON",0.00864173474745388
"WELLESLEY",0.00860577432027594
"IPSWICH",0.00841146604945139
"MANSFIELD",0.00822994770097821
"ORANGE",0.00798970264404254
"WESTHAMPTON",0.00788154500166715
"PROVINCETOWN",0.00766185394273232
"BOURNE",0.00765878934478329
"TYNGSBOROUGH",0.00763203842295022
"WILLIAMSTOWN",0.00762926519288331
"LEOMINSTER",0.00759307492809919
"NORTH ATTLEBOROUGH",0.00750445656258715
"MARLBOROUGH",0.00736049474482643
"NEW SALEM",0.00735690877772988
"SHARON",0.0073454264095844
"atlantic",0.00731767464735566
"NEEDHAM",0.00724085648300049
"WINCHENDON",0.00719324600975024
"HARWICH",0.0071582744240029
"HANCOCK",0.00712819492368068
"WEST NEWBURY",0.00711105548225345
"BRAINTREE",0.00699506672570925
"SOUTH HADLEY",0.00692619751523985
"LUDLOW",0.00687054960704535
"ROYALSTON",0.00682293960512531
"EGREMONT",0.00676745177809394
"NORTHBRIDGE",0.00662298759363917
"TOPSFIELD",0.00660700425017273
"GREENFIELD",0.0065773901693776
"SALISBURY",0.00651045427942212
"salem",0.00649786710658384
"DARTMOUTH",0.0064797129123329
"DUDLEY",0.00636015237232758
"METHUEN",0.00629745053386707
"HAVERHILL",0.00625189764938045
"BELMONT",0.00622318546978699
"SOMERVILLE",0.0062004443078387
"FAIRHAVEN",0.00616498590208686
"DANVERS",0.00615317555953245
"AYER",0.0060962762241926
"passaic",0.00606508690882909
"AMHERST",0.00605559493626906
"DRACUT",0.00601041603675461
"sussex",0.00595030269043705
"WEST BOYLSTON",0.00593388354848177
"NORTH BROOKFIELD",0.00587592126279989
"WAKEFIELD",0.00581580635603665
"TEWKSBURY",0.00576878926672195
"RUSSELL",0.00573752070963977
"LINCOLN",0.0057133330880985
"LONGMEADOW",0.00561122915859808
"gloucester",0.0055767434046647
"CONCORD",0.00548173778872607
"STONEHAM",0.00543039358585543
"MELROSE",0.00539163324832799
"BOXFORD",0.00538552401173617
"WESTWOOD",0.00537991712311218
"HEATH",0.00531937790879345
"SEEKONK",0.00530564645729526
"ROCKPORT",0.00529336477014483
"PLYMOUTH",0.00528908853384387
"WILMINGTON",0.00527807306500622
"ROWE",0.00524299677391254
"MAYNARD",0.00516843699385213
"camden",0.00513768250389398
"CARLISLE",0.00512907748888317
"SHREWSBURY",0.00511823080496359
"NORTHBOROUGH",0.00508913786059865
"NEWTON",0.00508774489312446
"ABINGTON",0.00507368254232762
"HALIFAX",0.00505618455377373
"BOSTON",0.00503935973654118
"BROCKTON",0.00502128658156035
"GLOUCESTER",0.00502042082317068
"CHICOPEE",0.00498618888757431
"SOUTHBOROUGH",0.00493979589735559
"COLRAIN",0.00492820161155801
"WORCESTER",0.00492740014330183
"SHELBURNE",0.0049082909340304
"SPRINGFIELD",0.00490266735563816
"SWAMPSCOTT",0.00485459251730698
"warren",0.00484160335676585
"WATERTOWN",0.00481150260941788
"BECKET",0.00479436881998061
"READING",0.00477108692143669
"LYNNFIELD",0.00475298628002918
"NORFOLK",0.00474179878312521
"RAYNHAM",0.00463986886941182
"MARSHFIELD",0.00460686263721388
"CONWAY",0.00460552771348564
"BROOKLINE",0.00456279837382037
"ocean",0.00455078932608042
"OTIS",0.00454781523825424
"HUNTINGTON",0.00453258601279987
"HANOVER",0.00453183479728621
"CAMBRIDGE",0.00449289745837359
"WEYMOUTH",0.00447272415391001
"RANDOLPH",0.00445144081134208
"MILTON",0.00444364868906354
"COHASSET",0.00434791550308408
"GRANVILLE",0.00432352888060917
"NEW BEDFORD",0.00431262853258076
"GROTON",0.00430132173510261
"FRANKLIN",0.00429947793780712
"FRAMINGHAM",0.00427747139872459
"HINGHAM",0.00426267323513247
"ASHFIELD",0.00425125840079238
"STURBRIDGE",0.00422834804550285
"WINDSOR",0.00422832606724237
"ESSEX",0.00420224766418092
"WALTHAM",0.00418892191064617
"ANDOVER",0.00417933992543757
"GRANBY",0.00416074409361825
"SPENCER",0.00415397588261619
"SUDBURY",0.00414377998999743
"BEVERLY",0.00413872799494597
"HARDWICK",0.00405445283134914
"SHUTESBURY",0.00404673741227449
"WENDELL",0.00397940074827429
"MEDFORD",0.00383828371535006
"morris",0.0038345661343097
"SOUTHAMPTON",0.00381737233265017
