unit,year,y_recyclingrate,treated
BOURNE,1997,.40644845,0
TRURO,1997,.30644846,0
EASTHAM,1997,.23644847,0
SANDWICH,1997,.43644845,0
YARMOUTH,1997,.26644847,0
PROVINCETOWN,1997,.24644846,0
HARWICH,1997,.56644845,0
FALMOUTH,1997,.48644847,0
EASTHAM,1998,.24974246,0
HARWICH,1998,.55974245,0
PROVINCETOWN,1998,.34974247,0
BOURNE,1998,.48974249,0
TRURO,1998,.28974247,0
YARMOUTH,1998,.39974248,0
FALMOUTH,1998,.42974249,0
SANDWICH,1998,.42974249,0
EASTHAM,1999,.25309679,0
BOURNE,1999,.4930968,0
HARWICH,1999,.61309677,0
FALMOUTH,1999,.46309677,0
PROVINCETOWN,1999,.34309676,0
SANDWICH,1999,.44309676,0
YARMOUTH,1999,.36309677,0
TRURO,1999,.32309675,0
BOURNE,2000,.51639563,0
PROVINCETOWN,2000,.29639566,0
HARWICH,2000,.64639562,0
EASTHAM,2000,.24639565,0
FALMOUTH,2000,.44639564,0
SANDWICH,2000,.32639563,0
TRURO,2000,.32639563,0
YARMOUTH,2000,.63639563,0
PROVINCETOWN,2001,.29172885,0
FALMOUTH,2001,.52172881,0
BOURNE,2001,.51172882,0
EASTHAM,2001,.34172887,0
HARWICH,2001,.52172881,0
SANDWICH,2001,.50172889,0
TRURO,2001,.41172886,0
YARMOUTH,2001,.66172886,0
FALMOUTH,2002,.53190702,0
HARWICH,2002,.551907,0
YARMOUTH,2002,.67190701,0
EASTHAM,2002,.301907,0
BOURNE,2002,.47190702,0
PROVINCETOWN,2002,.241907,0
SANDWICH,2002,.29190701,0
TRURO,2002,.681907,0
PROVINCETOWN,2003,.25383422,0
SANDWICH,2003,.25383422,0
BOURNE,2003,.4638342,0
EASTHAM,2003,.3338342,0
FALMOUTH,2003,.50383425,0
TRURO,2003,.62383425,0
HARWICH,2003,.56383425,0
YARMOUTH,2003,.51383424,0
HARWICH,2004,.55887514,0
FALMOUTH,2004,.49887511,0
SANDWICH,2004,.28887513,0
PROVINCETOWN,2004,.32887512,0
EASTHAM,2004,.31887513,0
TRURO,2004,.40887514,0
YARMOUTH,2004,.38887513,0
BOURNE,2004,.48887512,0
HARWICH,2005,.5301702,0
FALMOUTH,2005,.50017023,0
TRURO,2005,.50017023,0
SANDWICH,2005,.28017023,0
BOURNE,2005,.49017024,0
PROVINCETOWN,2005,.24017023,0
YARMOUTH,2005,.48017025,0
EASTHAM,2005,.44017026,0
FALMOUTH,2006,.50411522,0
TRURO,2006,.54411525,0
PROVINCETOWN,2006,.26411524,0
BOURNE,2006,.41411525,0
EASTHAM,2006,.39411524,0
SANDWICH,2006,.30411524,0
YARMOUTH,2006,.47411522,0
HARWICH,2006,.58411521,0
PROVINCETOWN,2007,.27722195,0
HARWICH,2007,.61722195,0
FALMOUTH,2007,.56722194,0
BOURNE,2007,.43722194,0
YARMOUTH,2007,.50722194,0
SANDWICH,2007,.31722197,0
TRURO,2007,.56722194,0
EASTHAM,2007,.39722195,0
HARWICH,2008,.50016135,0
SANDWICH,2008,.37016135,0
FALMOUTH,2008,.46016136,0
BOURNE,2008,.39016137,0
PROVINCETOWN,2008,.45016137,0
EASTHAM,2008,.46016136,0
YARMOUTH,2008,.45016137,0
TRURO,2008,.54016131,0
ALFORD,1997,.49883297,0
LEE,1997,.23883297,0
SHEFFIELD,1997,.378833,0
WILLIAMSTOWN,1997,.62883294,0
PERU,1997,.42883298,0
CHESHIRE,1997,.35883299,0
BECKET,1997,.50883299,0
HANCOCK,1997,.35883299,0
EGREMONT,1997,.35883299,0
WINDSOR,1997,.45883298,0
SAVOY,1997,.16883297,0
HINSDALE,1997,.30883297,0
OTIS,1997,.34883299,0
LEE,1998,.52117741,0
BECKET,1998,.50117737,0
ALFORD,1998,.29117739,0
OTIS,1998,.40117741,0
HANCOCK,1998,.35117739,0
HINSDALE,1998,.2511774,0
WILLIAMSTOWN,1998,.68117738,0
PERU,1998,.44117737,0
EGREMONT,1998,.42117739,0
SHEFFIELD,1998,.46117738,0
CHESHIRE,1998,.33117738,0
WINDSOR,1998,.5311774,0
SAVOY,1998,.26117739,0
HINSDALE,1999,.24363253,0
WILLIAMSTOWN,1999,.68363255,0
BECKET,1999,.52363253,0
LEE,1999,.54363257,0
CHESHIRE,1999,.39363253,0
EGREMONT,1999,.44363251,0
PERU,1999,.31363252,0
SAVOY,1999,.33363253,0
WINDSOR,1999,.41363254,0
ALFORD,1999,.20363253,0
HANCOCK,1999,.58363253,0
SHEFFIELD,1999,.60363257,0
OTIS,1999,.40363252,0
CHESHIRE,2000,.42834741,0
EGREMONT,2000,.44834739,0
OTIS,2000,.26834741,0
ALFORD,2000,.41834742,0
SAVOY,2000,.47834739,0
HINSDALE,2000,.4383474,0
LEE,2000,.32834741,0
PERU,2000,.39834741,0
SHEFFIELD,2000,.36834741,0
WILLIAMSTOWN,2000,.64834738,0
WINDSOR,2000,.44834739,0
HANCOCK,2000,.39834741,0
BECKET,2000,.51834744,0
PERU,2001,.41054261,0
LEE,2001,.33054262,0
SHEFFIELD,2001,.3505426,0
HINSDALE,2001,.52054262,0
BECKET,2001,.50054264,0
CHESHIRE,2001,.5405426,0
EGREMONT,2001,.47054261,0
WINDSOR,2001,.49054262,0
WILLIAMSTOWN,2001,.53054261,0
SAVOY,2001,.5405426,0
HANCOCK,2001,.42054263,0
OTIS,2001,.3205426,0
ALFORD,2001,.20054261,0
OTIS,2002,.37220678,0
HANCOCK,2002,.44220677,0
BECKET,2002,.49220678,0
CHESHIRE,2002,.53220677,0
