unit,year,y_recyclingrate,treated
BOURNE,1997,.40644845,0
TRURO,1997,.30644846,0
EASTHAM,1997,.23644847,0
SANDWICH,1997,.43644845,0
YARMOUTH,1997,.26644847,0
PROVINCETOWN,1997,.24644846,0
HARWICH,1997,.56644845,0
FALMOUTH,1997,.48644847,0
EASTHAM,1998,.24974246,0
HARWICH,1998,.55974245,0
PROVINCETOWN,1998,.34974247,0
BOURNE,1998,.48974249,0
TRURO,1998,.28974247,0
YARMOUTH,1998,.39974248,0
FALMOUTH,1998,.42974249,0
SANDWICH,1998,.42974249,0
EASTHAM,1999,.25309679,0
BOURNE,1999,.4930968,0
HARWICH,1999,.61309677,0
FALMOUTH,1999,.46309677,0
PROVINCETOWN,1999,.34309676,0
SANDWICH,1999,.44309676,0
YARMOUTH,1999,.36309677,0
TRURO,1999,.32309675,0
BOURNE,2000,.51639563,0
PROVINCETOWN,2000,.29639566,0
HARWICH,2000,.64639562,0
EASTHAM,2000,.24639565,0
FALMOUTH,2000,.44639564,0
SANDWICH,2000,.32639563,0
TRURO,2000,.32639563,0
YARMOUTH,2000,.63639563,0
PROVINCETOWN,2001,.29172885,0
FALMOUTH,2001,.52172881,0
BOURNE,2001,.51172882,0
EASTHAM,2001,.34172887,0
HARWICH,2001,.52172881,0
SANDWICH,2001,.50172889,0
TRURO,2001,.41172886,0
YARMOUTH,2001,.66172886,0
HARWICH,2008,.50016135,0
SANDWICH,2008,.37016135,0
FALMOUTH,2008,.46016136,0
BOURNE,2008,.39016137,0
PROVINCETOWN,2008,.45016137,0
EASTHAM,2008,.46016136,0
YARMOUTH,2008,.45016137,0
TRURO,2008,.54016131,0
ALFORD,1997,.49883297,0
LEE,1997,.23883297,0
SHEFFIELD,1997,.378833,0
WILLIAMSTOWN,1997,.62883294,0
PERU,1997,.42883298,0
CHESHIRE,1997,.35883299,0
BECKET,1997,.50883299,0
HANCOCK,1997,.35883299,0
EGREMONT,1997,.35883299,0
WINDSOR,1997,.45883298,0
SAVOY,1997,.16883297,0
HINSDALE,1997,.30883297,0
OTIS,1997,.34883299,0
LEE,1998,.52117741,0
BECKET,1998,.50117737,0
ALFORD,1998,.29117739,0
OTIS,1998,.40117741,0
HANCOCK,1998,.35117739,0
HINSDALE,1998,.2511774,0
WILLIAMSTOWN,1998,.68117738,0
PERU,1998,.44117737,0
EGREMONT,1998,.42117739,0
SHEFFIELD,1998,.46117738,0
CHESHIRE,1998,.33117738,0
WINDSOR,1998,.5311774,0
SAVOY,1998,.26117739,0
HINSDALE,1999,.24363253,0
WILLIAMSTOWN,1999,.68363255,0
BECKET,1999,.52363253,0
LEE,1999,.54363257,0
CHESHIRE,1999,.39363253,0
EGREMONT,1999,.44363251,0
PERU,1999,.31363252,0
SAVOY,1999,.33363253,0
WINDSOR,1999,.41363254,0
ALFORD,1999,.20363253,0
HANCOCK,1999,.58363253,0
SHEFFIELD,1999,.60363257,0
OTIS,1999,.40363252,0
CHESHIRE,2000,.42834741,0
EGREMONT,2000,.44834739,0
OTIS,2000,.26834741,0
ALFORD,2000,.41834742,0
SAVOY,2000,.47834739,0
HINSDALE,2000,.4383474,0
LEE,2000,.32834741,0
PERU,2000,.39834741,0
SHEFFIELD,2000,.36834741,0
WILLIAMSTOWN,2000,.64834738,0
WINDSOR,2000,.44834739,0
HANCOCK,2000,.39834741,0
BECKET,2000,.51834744,0
PERU,2001,.41054261,0
LEE,2001,.33054262,0
SHEFFIELD,2001,.3505426,0
HINSDALE,2001,.52054262,0
BECKET,2001,.50054264,0
CHESHIRE,2001,.5405426,0
EGREMONT,2001,.47054261,0
WINDSOR,2001,.49054262,0
WILLIAMSTOWN,2001,.53054261,0
SAVOY,2001,.5405426,0
HANCOCK,2001,.42054263,0
OTIS,2001,.3205426,0
ALFORD,2001,.20054261,0
OTIS,2008,.33036491,0
WILLIAMSTOWN,2008,.3703649,0
ALFORD,2008,.29036489,0
WINDSOR,2008,.53036487,0
PERU,2008,.3403649,0
LEE,2008,.2803649,0
HINSDALE,2008,.39036492,0
EGREMONT,2008,.48036492,0
HANCOCK,2008,.48036492,0
SAVOY,2008,.32036489,0
SHEFFIELD,2008,.42036492,0
BECKET,2008,.36036491,0
CHESHIRE,2008,.45036492,0
RAYNHAM,1997,.30242866,0
BERKLEY,1997,.39242867,0
ATTLEBORO,1997,.41242868,0
FAIRHAVEN,1997,.27242866,0
NORTH ATTLEBOROUGH,1997,.37242866,0
NEW BEDFORD,1997,.19242865,0
DARTMOUTH,1997,.29242864,0
WESTPORT,1997,.50242865,0
SOMERSET,1997,.54242867,0
SEEKONK,1997,.49242866,0
MANSFIELD,1997,.34242865,0
BERKLEY,1998,.44453371,0
FAIRHAVEN,1998,.24453372,0
ATTLEBORO,1998,.38453373,0
RAYNHAM,1998,.25453374,0
MANSFIELD,1998,.33453372,0
NEW BEDFORD,1998,.17453371,0
NORTH ATTLEBOROUGH,1998,.33453372,0
SOMERSET,1998,.54453373,0
WESTPORT,1998,.44453371,0
SEEKONK,1998,.50453371,0
DARTMOUTH,1998,.33453372,0
DARTMOUTH,1999,.37729776,0
SOMERSET,1999,.46729776,0
MANSFIELD,1999,.38729778,0
BERKLEY,1999,.63729775,0
WESTPORT,1999,.50729775,0
NEW BEDFORD,1999,.15729778,0
SEEKONK,1999,.49729776,0
NORTH ATTLEBOROUGH,1999,.60729778,0
RAYNHAM,1999,.30729777,0
ATTLEBORO,1999,.35729778,0
FAIRHAVEN,1999,.31729776,0
ATTLEBORO,2000,.32222408,0
BERKLEY,2000,.57222408,0
