,County,Population,Disposal and Recycling Generation,MSW Disposal,Bulky Disposal,Total Disposal,MSW Recycled,MSW % Recycled,Total Recycled w/ Add Ons,Total % Recycled
0,Atlantic,"252,552","7 76,601","283,867","107,183","391,050","92,890.43",24.7%,"385,550.96",49.6%
1,Bergen,"884,118","2 ,112,094","692,612","287,750","980,362","515,603.44",42.7%,"1,131,731.72",53.6%
2,Burlington,"423,394","1 ,041,409","363,182","133,630","496,812","196,296.74",35.1%,"544,596.64",52.3%
3,Camden,"508,932","1 ,007,275","379,618","174,723","554,341","164,222.38",30.2%,"452,934.29",45.0%
4,Cape May,"102,326","5 98,194","93,102","149,431","242,532","68,043.88",42.2%,"355,661.81",59.5%
5,Cumberland,"146,438","5 38,853","145,372","64,580","209,952","123,040.73",45.8%,"328,901.01",61.0%
6,Essex,"793,633","1 ,727,704","562,705","251,907","814,612","254,062.02",31.1%,"913,092.50",52.9%
7,Gloucester,"254,673","6 37,015","225,730","90,097","315,827","141,508.05",38.5%,"321,188.45",50.4%
8,Hudson,"608,975","1 ,359,213","469,448","192,808","662,256","137,306.19",22.6%,"696,956.80",51.3%
9,Hunterdon,"121,989","2 23,220","95,743","51,105","146,848","25,734.01",21.2%,"76,371.58",34.2%
10,Mercer,"350,761","7 98,136","284,546","109,344","393,890","130,784.59",31.5%,"404,246.19",50.6%
11,Middlesex,"750,162","2 ,515,806","614,338","333,784","948,122","367,291.03",37.4%,"1,567,684.40",62.3%
12,Monmouth,"615,301","1 ,593,459","530,671","233,035","763,706","338,162.20",38.9%,"829,752.65",52.1%
13,Morris,"470,212","1 ,244,570","417,388","182,910","600,298","237,667.06",36.3%,"644,272.24",51.8%
14,Ocean,"510,916","1 ,424,174","488,097","186,271","674,368","222,702.98",31.3%,"749,805.75",52.6%
15,Passaic,"489,049","1 ,164,953","425,624","171,943","597,567","199,205.74",31.9%,"567,385.98",48.7%
16,Salem,"64,285","1 36,986","34,141","47,900","82,041","18,593.79",35.3%,"54,945.12",40.1%
17,Somerset,"297,490","7 81,312","263,092","142,610","405,702","94,973.90",26.5%,"375,610.10",48.1%
18,Sussex,"144,166","2 78,768","95,606","47,993","143,599","38,326.74",28.6%,"135,168.96",48.5%
19,Union,"522,541","1 ,423,734","419,402","198,195","617,597","172,549.64",29.1%,"806,137.43",56.6%
20,Warren,"102,437","1 72,505","74,681","33,045","107,726","18,951.93",20.2%,"64,778.70",37.6%
